iter	Logloss
0	0.6880644585
1	0.6813973612
2	0.6751928603
3	0.6710988451
4	0.6649451458
5	0.6619289352
6	0.6578231179
7	0.6526010848
8	0.649681514
9	0.6467633977
10	0.6450028181
11	0.6421380589
12	0.640178937
13	0.6384901101
14	0.6362151798
15	0.6338584061
16	0.6320648039
17	0.6302935728
18	0.6284308199
19	0.626279207
20	0.6234522985
21	0.6199867228
22	0.6187406683
23	0.6174994363
24	0.6156123788
25	0.614373654
26	0.6132447155
27	0.6116488237
28	0.6100839399
29	0.6088498662
30	0.6072760722
31	0.6062492221
32	0.6051914011
33	0.6040226786
34	0.6021097038
35	0.6012784001
36	0.6002997552
37	0.5993560605
38	0.5984441898
39	0.5974623832
40	0.5965985306
41	0.5957863696
42	0.5949286707
43	0.5941234217
44	0.5933005066
45	0.5924579901
46	0.5913367634
47	0.5905058244
48	0.5894818172
49	0.588158104
50	0.5873121445
51	0.586472251
52	0.585084804
53	0.5843693873
54	0.583694083
55	0.5827077209
56	0.5820665769
57	0.5814664916
58	0.5808925494
59	0.5798454263
60	0.5792881445
61	0.578609444
62	0.5780033064
63	0.577458957
64	0.5768202179
65	0.5755392219
66	0.5748031227
67	0.5741501324
68	0.5737056091
69	0.5730957179
70	0.5721461112
71	0.5713320581
72	0.5704519184
73	0.5699498568
74	0.5694624126
75	0.5688822514
76	0.568327782
77	0.5678590933
78	0.5674595073
79	0.5670372429
80	0.5663552716
81	0.5652843554
82	0.5648632734
83	0.5644076823
84	0.5640291714
85	0.5636364828
86	0.563224111
87	0.5628196176
88	0.5621681667
89	0.5618210835
90	0.5611141814
91	0.5604898525
92	0.5601344088
93	0.5597836053
94	0.5594775845
95	0.5591560152
96	0.5586504251
97	0.5582934024
98	0.5576105839
99	0.5572563235
100	0.556939774
101	0.5565901012
102	0.5562943156
103	0.5559940882
104	0.5556681318
105	0.5553266684
106	0.5550457501
107	0.5547130689
108	0.5543796749
109	0.5540709219
110	0.5536815869
111	0.5534209516
112	0.5531412881
113	0.5523652245
114	0.5521050372
115	0.55185538
116	0.5515805833
117	0.5510913383
118	0.5507747495
119	0.5504512112
120	0.5501979396
121	0.5499652454
122	0.549585197
123	0.5492880291
124	0.5490397579
125	0.5488037302
126	0.5485448607
127	0.5482774383
128	0.5480132356
129	0.5477048461
130	0.5472104505
131	0.546881686
132	0.5465684943
133	0.5463204923
134	0.5458468686
135	0.5456221585
