iter	Passed	Remaining
0	1576	7883323
1	3038	7592886
2	4500	7496080
3	5870	7332239
4	7195	7188068
5	8571	7134144
6	9870	7040474
7	11208	6993838
8	12590	6982005
9	13985	6978841
10	15345	6959746
11	16757	6965519
12	18042	6921248
13	19405	6911047
14	20854	6930770
15	22481	7002994
16	23961	7023573
17	25416	7034781
18	26767	7017285
19	28270	7039463
20	29689	7039257
21	31251	7071356
22	32833	7104909
23	34270	7105503
24	35814	7127137
25	37351	7145593
26	38840	7153882
27	40630	7214876
28	42110	7218402
29	43537	7212692
30	44964	7207371
31	46710	7251730
32	48446	7291932
33	50052	7310567
34	51577	7316614
35	53172	7331941
36	54582	7321380
37	55971	7308690
38	57383	7299453
39	58744	7284372
40	60121	7271754
41	61490	7258837
42	62891	7250097
43	64195	7230691
44	65634	7227093
45	66936	7208818
46	68264	7193875
47	69672	7187886
48	71045	7178481
49	72470	7174614
50	73836	7165000
51	75280	7163189
52	76735	7162483
53	78088	7152287
54	79388	7137749
55	80635	7119001
56	81962	7107744
57	83246	7093143
58	84596	7084579
59	86068	7086304
60	87438	7079670
61	88858	7077178
62	90148	7064493
63	91498	7056822
64	92857	7050027
65	94168	7039795
66	95426	7025983
67	96843	7023989
68	98120	7012082
69	99448	7004025
70	100719	6992185
71	101978	6979835
72	103492	6985058
73	104862	6980460
74	106411	6987670
75	108035	6999537
76	109619	7008519
77	110896	6997848
78	112206	6989440
79	113526	6981857
80	114750	6968614
81	116046	6959959
82	117408	6955422
83	118803	6952833
84	120132	6946469
85	121453	6939793
86	122692	6928592
87	123971	6919854
88	125357	6917183
89	126881	6922109
90	128341	6923410
91	129672	6917751
92	131035	6913881
93	132332	6906646
94	133644	6900301
95	135086	6900661
96	136301	6889559
97	137634	6884548
98	138989	6880704
99	140385	6878897
100	141868	6881300
101	143307	6881548
102	144619	6875725
103	145899	6868507
104	147362	6869895
105	148807	6870433
106	150133	6865460
107	151463	6860727
108	152767	6854915
109	154035	6847586
110	155379	6843697
111	156665	6837319
112	157881	6828019
113	159179	6822382
114	160433	6814941
115	161750	6810255
116	163084	6806348
117	164341	6799285
118	165754	6798724
119	167333	6804912
120	168614	6798928
121	169813	6789741
122	171095	6784020
123	172421	6780061
124	173770	6777064
125	175005	6769652
126	176527	6773377
127	177903	6771444
128	179174	6765576
129	180469	6760683
130	181785	6756601
131	183091	6752186
132	184357	6746381
133	185660	6741964
134	186921	6736101
135	188236	6732209
136	189395	6722833
137	190733	6719895
138	191956	6712938
139	193164	6705570
140	194436	6700477
141	195857	6700536
142	197172	6696971
143	198465	6692705
144	199793	6689647
145	201076	6685097
146	202243	6676770
147	203522	6672245
148	204785	6667208
149	205955	6659212
150	207358	6658815
151	208644	6654670
152	209843	6647793
153	211076	6642057
154	212370	6638280
155	213660	6634435
156	214901	6629094
157	216148	6623990
158	217433	6620105
159	218774	6617916
160	220038	6613455
161	221316	6609447
162	222631	6606550
163	223886	6601921
164	225301	6602020
165	226735	6602641
166	228182	6603619
167	229428	6598814
168	230630	6592765
169	231916	6589151
170	233068	6581803
171	234371	6578743
172	235650	6575071
173	236930	6571422
174	238169	6566682
175	239378	6561150
176	240667	6557843
177	241959	6554654
178	243242	6551239
179	244517	6547637
180	245829	6545051
181	247142	6542479
182	248391	6538267
183	249700	6535649
184	250946	6531390
185	252316	6530390
186	253553	6525939
187	254731	6520035
188	256041	6517545
189	257328	6514485
190	258552	6509829
191	260211	6516130
192	261690	6517867
193	263163	6519406
194	264685	6522110
195	266027	6520391
196	267420	6519909
197	268872	6520837
198	270421	6524096
199	271760	6522261
200	273128	6521115
201	274373	6517050
202	275658	6513971
203	276858	6508895
204	278162	6506290
205	279393	6502001
206	280715	6499855
207	281939	6495448
208	283348	6495317
209	284632	6492340
210	285946	6490040
211	287469	6492479
212	288921	6493266
213	290265	6491638
214	291749	6493127
215	292923	6487718
216	294164	6483816
217	295442	6480766
218	296831	6480141
219	298269	6480576
220	299591	6478504
221	300913	6476421
222	302287	6475455
223	303685	6475004
224	305023	6473273
225	306377	6471881
226	307744	6470760
227	309074	6468866
228	310314	6465113
229	311458	6459380
230	312818	6458146
231	314088	6455059
232	315262	6450033
233	316433	6444966
234	317705	6441983
235	318998	6439451
236	320313	6437352
237	321679	6436301
238	323023	6434793
239	324640	6438712
240	326347	6444348
241	327862	6446165
242	329189	6444262
243	330456	6441186
244	331693	6437563
245	332925	6433856
246	334253	6432003
247	335366	6426049
248	336695	6424258
249	337941	6420895
250	339198	6417741
251	340472	6414938
252	341775	6412673
253	343043	6409773
254	344197	6404773
255	345522	6402961
256	347076	6405382
257	348581	6406883
258	349884	6404646
259	351120	6401205
260	352454	6399548
261	353665	6395680
262	354961	6393356
263	356208	6390162
264	357490	6387605
265	358845	6386377
266	360251	6386034
267	361806	6388312
268	363244	6388511
269	364558	6386517
270	365792	6383148
271	367172	6382318
272	368584	6382051
273	369775	6377958
274	371086	6375941
275	372385	6373727
276	373646	6370867
277	374949	6368753
278	376125	6364481
279	377379	6361534
280	378721	6360098
281	380052	6358460
282	381466	6358217
283	382910	6358478
284	384167	6355615
285	385403	6352411
286	386621	6348936
287	387965	6347542
288	389223	6344753
289	390503	6342318
290	391662	6337929
291	392967	6335928
292	394303	6334424
293	395518	6330989
294	396780	6328317
295	398055	6325852
296	399345	6323643
297	400531	6319803
298	401944	6319538
299	403155	6316095
300	404424	6313587
301	405689	6311023
302	407215	6312512
303	408716	6313593
304	410181	6314100
305	411518	6312638
306	412830	6310788
307	414178	6309500
308	415425	6306669
309	416814	6306007
310	418103	6303821
311	419434	6302270
312	420678	6299425
313	421862	6295693
314	423040	6291888
315	424334	6289816
316	425452	6285151
317	426843	6284527
318	428292	6284753
319	429671	6283945
320	430894	6280854
321	432260	6279854
322	433404	6275649
323	434590	6272059
324	435904	6270319
325	437100	6266900
326	438372	6264570
327	439543	6260816
328	440823	6258620
329	442053	6255724
330	443372	6254097
331	444687	6252418
332	445920	6249585
333	447198	6247390
334	448511	6245695
335	449635	6241363
336	451048	6241058
337	452380	6239638
338	453549	6235966
339	454813	6233623
340	456074	6231238
341	457269	6227955
342	458298	6222439
343	459570	6220236
344	460779	6217179
345	462009	6214424
346	463290	6212363
347	464535	6209826
348	465919	6209139
349	467494	6210992
350	468985	6211720
351	470130	6207860
352	471360	6205133
353	472628	6202910
354	473989	6201923
355	475229	6199340
356	476424	6196182
357	477739	6194603
358	478884	6190813
359	480095	6187896
360	481330	6185299
361	482682	6184201
362	483970	6182293
363	485252	6180302
364	486476	6177584
365	487717	6175086
366	488878	6171592
367	490064	6168420
368	491257	6165347
369	492487	6162752
370	493611	6158837
371	494829	6156106
372	496017	6153008
373	497206	6149940
374	498564	6148964
375	499887	6147555
376	501054	6144235
377	502513	6144492
378	503375	6137462
379	504791	6137201
380	506065	6135208
381	507378	6133701
382	508724	6132586
383	510051	6131238
384	511231	6128135
385	511854	6118380
386	512844	6113058
387	514023	6109992
388	515325	6108395
389	516652	6107092
390	517897	6104834
391	519144	6102593
392	520380	6100232
393	521612	6097838
394	522888	6095949
395	523835	6090246
396	525092	6088164
397	526367	6086293
398	527812	6086374
399	529148	6085206
400	530367	6082698
401	531639	6080787
402	533055	6080533
403	534384	6079280
404	535641	6077220
405	536819	6074254
406	538122	6072724
407	539278	6069522
408	540617	6068397
409	541726	6064694
410	542850	6061174
411	544106	6059131
412	545268	6056043
413	546382	6052443
414	547447	6048304
415	548620	6045375
416	549851	6043091
417	550930	6039143
418	552169	6036962
419	553427	6034990
420	554521	6031245
421	555742	6028889
422	557006	6026998
423	558235	6024727
424	559434	6022146
425	560585	6019056
426	561743	6016045
427	563070	6014859
428	564234	6011921
429	565460	6009657
430	566721	6007777
431	567950	6005554
432	569344	6005074
433	570523	6002332
434	571861	6001263
435	572488	5992750
436	573810	5991528
437	575144	5990431
438	576425	5988786
439	577536	5985373
440	578712	5982654
441	579915	5980215
442	581181	5978430
443	582313	5975268
444	583367	5971323
445	584458	5967770
446	585607	5964811
447	586220	5956423
448	587701	5956853
449	589057	5956021
450	590119	5952223
451	591408	5950722
452	592847	5950718
453	594106	5948918
454	595447	5947928
455	596867	5947731
456	598201	5946672
457	599095	5941246
458	600263	5938553
459	601215	5933736
460	602540	5932605
461	603942	5932236
462	605311	5931529
463	606635	5930387
464	607945	5929100
465	609185	5927141
466	610408	5925013
467	611632	5922901
468	612947	5921678
469	614154	5919402
470	615037	5914025
471	616408	5913344
472	617792	5912785
473	618628	5906992
474	619875	5905125
475	621810	5909807
476	623189	5909199
477	624516	5908078
478	625842	5906958
479	627200	5906136
480	628578	5905499
481	629910	5904434
482	631038	5901452
483	632281	5899554
484	633607	5898427
485	634808	5896145
486	636173	5895383
487	637354	5892917
488	638673	5891729
489	639906	5889755
490	641096	5887379
491	642255	5884727
492	643555	5883378
493	644821	5881715
494	646142	5880553
495	647529	5879985
496	649028	5880436
497	650234	5878222
498	651458	5876180
499	652827	5875449
500	653879	5871860
501	654319	5862805
502	655057	5856449
503	656265	5854302
504	657558	5852924
505	658795	5851043
506	659924	5848204
507	661437	5848775
508	662799	5847997
509	664075	5846470
510	665419	5845538
511	666653	5843631
512	667975	5842502
513	669218	5840688
514	670478	5839017
515	671709	5837100
516	673007	5835768
517	674216	5833667
518	675452	5831796
519	676419	5827613
520	677621	5825464
521	678865	5823676
522	679915	5820231
523	681067	5817665
524	682297	5815773
525	683533	5813931
526	684718	5811665
527	685541	5806327
528	686764	5804392
529	688246	5804644
530	688893	5797860
531	690311	5797580
532	691633	5796482
533	692958	5795412
534	694255	5794109
535	695565	5792915
536	696470	5788359
537	697649	5786085
538	698786	5783462
539	700129	5782547
540	701298	5780206
541	702460	5777803
542	703626	5775438
543	704891	5773889
544	705502	5766995
545	706627	5764318
546	708135	5764767
547	709559	5764525
548	711001	5764424
549	712277	5762969
550	713576	5761706
551	714751	5759448
552	715848	5756559
553	717045	5754484
554	718316	5753003
555	719525	5751024
556	720804	5749614
557	722073	5748122
558	723371	5746855
559	724737	5746131
560	726024	5744778
561	727318	5743486
562	728187	5738839
563	729407	5736970
564	730621	5735055
565	731916	5733777
566	733110	5731708
567	733778	5725538
568	734375	5718834
569	734948	5711969
570	735525	5705154
571	736058	5698023
572	736231	5688124
573	736811	5681410
574	737363	5674495
575	737581	5665036
576	738118	5658052
577	738846	5652560
578	739623	5647453
579	740645	5644232
580	741054	5636350
581	741953	5632219
582	743640	5634065
583	745502	5637224
584	747030	5637844
585	748230	5635987
586	748703	5628667
587	750095	5628268
588	750903	5623490
589	751720	5618790
590	752470	5613606
591	753467	5610278
592	754288	5605651
593	756677	5612659
594	757557	5608470
595	758437	5604291
596	758811	5596391
597	759533	5591083
598	760326	5586303
599	760759	5578903
600	761041	5570415
601	761820	5565591
602	762659	5561218
603	763430	5556360
604	763956	5549735
605	764800	5545434
606	765706	5541597
607	766483	5536831
608	767162	5531377
609	767746	5525260
610	768614	5521190
611	769335	5516085
612	770286	5512635
613	771050	5507861
